R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Anthony Pettis,Donald Cerrone,-135,115,74.07407407,115,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Welterweight,MALE,3,3,0,0,4.33,0.46,1.3,1.21,0.36,8,14,97,0,0,0,9,10,10,0,29,Orthodox,185.42,185.42,155,2,0,0,2.97,0.46,1.2,0.67,0.54,5,10,60,4,0,1,2,4,7,0,14,Orthodox,177.8,182.88,155,33,37,-1,0,3,15,-4,37,-4,6,3,7.62,2.54,-4,1.36,0.1,0.54,1,1,,15,,,,,,,,15,,,,,,,,,,,,,,6,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Aleksei Oleinik,Fabricio Werdum,270,-330,270,30.3030303,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,3.61,0.51,1.1,1.65,0.3,6,8,68,3,0,0,6,6,10,0,22,Orthodox,193.04,195.58,231,0,1,0,3.08,0.5,2.8,3.01,0.46,2,4,16,0,0,0,0,1,6,0,7,Orthodox,187.96,203.2,240,42,41,-1,-1,4,15,-4,52,3,5,4,5.08,-7.62,1,0.53,-1.7,-1.36,1,1,,12,,,,,12,,,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Carla Esparza,Michelle Waterson,-155,135,64.51612903,135,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.35,0.53,1.2,1.88,0.5,4,3,28,0,0,1,2,0,4,0,7,Orthodox,160.02,157.48,115,0,2,0,2.22,0.4,0.3,3.53,0.36,2,4,29,2,1,0,4,0,1,0,6,Orthodox,154.94,160.02,115,32,34,-1,-2,2,1,1,-1,-2,0,3,5.08,-2.54,-2,1.13,0.9,-1.65,1,1,8,7,,,7,,,,,,,,,,,,,8,,,,,,,,,,,Red,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Uriah Hall,Jacare Souza,115,-135,115,74.07407407,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Middleweight,MALE,3,2,0,0,2.54,0.46,1.4,2.46,0.38,8,7,61,0,0,0,4,5,10,0,19,Orthodox,185.42,182.88,185,0,2,0,3.31,0.5,0.2,0.75,0.38,3,7,32,0,0,1,1,6,0,0,8,Orthodox,182.88,200.66,185,35,40,-2,-2,5,11,0,29,0,-1,10,2.54,-17.78,-5,-0.77,1.2,1.71,1,1,,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,Justin Gaethje,-180,158,55.55555556,158,05/09/2020,"Jacksonville, Florida, USA",USA,Blue,TRUE,Lightweight,MALE,5,0,3,0,8.57,0.55,0,0,0,3,2,12,0,0,0,0,4,0,0,4,Orthodox,180.34,177.8,155,0,12,0,5.81,0.45,1.4,0.56,0.42,12,1,35,1,0,1,3,5,6,0,15,Orthodox,180.34,193.04,155,36,31,0,-9,-9,-11,-1,-23,-1,-1,-6,0,-15.24,5,2.76,-1.4,-0.56,1,1,4,1,,,,,,,,,1,,,,10,,,,,,,,,4,,,,,Red,KO/TKO,Punch,5,3:39,1419,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cejudo,Dominick Cruz,-225,185,44.44444444,185,05/09/2020,"Jacksonville, Florida, USA",USA,Red,TRUE,Bantamweight,MALE,5,1,0,0,3.53,0.31,0.1,3.17,0.5,12,2,51,5,0,2,8,2,0,0,12,Orthodox,172.72,172.72,135,0,5,0,3.82,0.44,0.2,2.16,0.35,5,2,30,4,0,2,4,3,0,0,9,Orthodox,162.56,162.56,135,33,35,-1,-5,7,3,0,21,1,-1,0,10.16,10.16,-2,-0.29,-0.1,1.01,1,1,,0,,,,,,,,,,,0,,3,,,,,,,,,,,,,,Red,KO/TKO,Knee,2,4:58,598,,,,,,,,,,,,,,,,,,,,,,,,
Francis Ngannou,Jairzinho Rozenstruik,-265,225,37.73584906,225,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,4,0,3.72,0.46,0,0,0,4,0,9,0,0,0,0,4,0,0,4,Orthodox,193.04,198.12,242,0,3,0,2.15,0.37,0.5,0,0,6,2,18,1,0,0,0,8,1,0,9,Orthodox,193.04,210.82,250,33,32,0,1,-2,-5,2,-9,-1,-4,-1,0,-12.7,1,1.57,-0.5,0,1,1,6,2,,,,,2,,,,,,,,,,,,,6,,,,,,,,,Red,KO/TKO,Punch,1,0:20,20,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Stephens,Calvin Kattar,210,-250,210,40,05/09/2020,"Jacksonville, Florida, USA",USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,5.12,0.41,0,0.47,0.33,2,2,14,0,0,0,1,3,0,0,4,Orthodox,180.34,182.88,145,3,0,0,3.09,0.4,0.4,1.18,0.38,3,16,82,0,0,1,6,8,0,0,15,Orthodox,175.26,180.34,145,33,32,2,0,-1,-11,14,-68,0,-5,0,5.08,2.54,1,2.03,-0.4,-0.71,1,1,9,7,,,,,,,,,,7,,,,,,,,,,,,,9,,,,Red,KO/TKO,Elbow,2,2:49,469,,,,,,,,,,,,,,,,,,,,,,,,
Greg Hardy,Yorgan De Castro,-200,170,50,170,05/09/2020,"Jacksonville, Florida, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,1,0,3.58,0.53,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,250,1,0,0,4.77,0.49,0,0,0,2,2,10,0,0,0,0,2,0,0,2,Orthodox,195.58,203.2,265,31,33,1,1,-1,-1,2,-9,0,-1,0,-12.7,-15.24,-2,-1.19,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Lee,Charles Oliveira,-145,135,68.96551724,135,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Lightweight,MALE,5,0,6,0,3.21,0.5,2.8,2.77,0.42,6,8,45,0,0,0,1,2,13,0,16,Orthodox,177.8,187.96,155,0,1,0,3.9,0.42,0.9,3.23,0.42,5,5,41,1,0,1,3,3,4,0,11,Orthodox,175.26,195.58,170,27,30,0,5,1,5,-3,4,-1,-1,9,2.54,-7.62,-3,-0.69,1.9,-0.46,1,1,13,8,,,,,,,,,8,,,,,,,,,,,,,13,,,,,Red,SUB,Guillotine Choke,3,0:28,628,0,0,41,43,80,65,0.51,0.66,61,51,100,73,2,0,3,1,0.66,0,0,2,2,0,1,1
Demian Maia,Gilbert Burns,160,-170,160,58.82352941,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Welterweight,MALE,3,0,4,0,3.09,0.43,0.7,2.43,0.38,4,3,30,0,0,0,4,2,4,0,10,Orthodox,177.8,180.34,170,0,3,0,1.82,0.43,1,2.49,0.25,7,9,85,2,1,1,8,1,11,0,22,Southpaw,185.42,182.88,170,42,33,0,1,-3,-12,6,-55,-2,1,-7,-7.62,-2.54,9,1.27,-0.3,-0.06,1,1,12,5,,,,,,,,5,,,,,,,,,,,,,12,,,,,,Red,KO/TKO,Punch,1,2:34,154,0,1,4,13,7,16,0.57,0.81,4,14,7,17,2,0,2,0,1,0,0,0,1,0,0,0
Renato Moicano,Damir Hadzovic,-345,315,28.98550725,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE,3,1,0,0,3,0.46,0.2,0.68,0.6,2,3,15,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155,2,0,0,5.53,0.46,0.4,1.16,0.54,3,3,18,0,0,2,1,0,2,0,5,Orthodox,180.34,182.88,155,30,33,1,0,-1,-2,0,-3,0,2,-2,-5.08,-5.08,-3,-2.53,-0.2,-0.48,1,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,0:44,44,0,0,1,1,2,5,0.5,0.2,4,1,5,5,1,0,1,0,1,0,1,0,1,0,0,0
Johnny Walker,Nikita Krylov,-137,127,72.99270073,127,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Light Heavyweight,MALE,3,1,0,0,4.86,0.57,1.9,1.06,0.38,5,5,20,0,0,0,0,3,4,0,7,Orthodox,190.5,195.58,205,1,0,0,5.17,0.69,2.3,0.75,1,3,1,4,0,0,0,0,3,0,0,3,Orthodox,198.12,208.28,205,27,28,0,0,2,4,-4,16,0,0,4,-7.62,-12.7,-1,-0.31,-0.4,0.31,1,1,12,10,,,,,,10,,,,,,,,,,,,,12,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,37,45,50,58,0.74,0.77,91,128,112,148,0,3,0,8,0,0.37,0,0,2,4,1,1
Francisco Trinaldo,John Makdessi,-160,150,62.5,150,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Lightweight,MALE,3,0,3,0,5.43,0.5,0,0,0,3,6,39,0,0,1,5,3,0,0,10,Orthodox,172.72,172.72,155,0,1,0,3.09,0.44,0.5,1.08,0.45,7,6,50,0,0,1,7,4,2,0,14,Southpaw,175.26,177.8,155,41,34,0,2,-4,-4,0,-11,0,-1,-2,-2.54,-5.08,7,2.34,-0.5,-1.08,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,55,67,126,123,0.43,0.54,55,68,126,124,0,0,1,0,0,0,0,0,0,0,0,0
Jussier Formiga,Brandon Moreno,-150,140,66.66666667,140,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE,3,0,1,1,3.12,0.34,0.6,2.02,0.43,3,2,20,0,0,1,1,0,2,0,4,Orthodox,170.18,177.8,125,1,0,0,1.38,0.38,0.6,1.95,0.39,4,5,34,0,0,0,6,0,3,0,9,Orthodox,165.1,170.18,125,34,26,1,1,-1,-5,3,-14,0,0,-1,5.08,7.62,8,1.74,0,0.07,1,1,5,3,,,,,,,,,,,,3,,,,,,,,,,,,,5,,Red,U-DEC,,3,5:00,900,0,0,15,33,32,82,0.46,0.4,61,94,81,147,1,0,9,2,0.11,0,1,0,3,1,1,1
Amanda Ribas,Randa Markos,-345,315,28.98550725,315,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,1,3.01,0.41,0.3,1.38,0.27,1,6,35,0,0,2,3,0,1,0,6,Orthodox,162.56,160.02,115,0,2,0,4.29,0.38,1.4,2.71,0.57,2,0,5,0,0,0,1,0,1,0,2,Orthodox,160.02,167.64,115,26,34,0,-1,-1,4,-6,30,0,0,0,2.54,-7.62,-8,-1.28,-1.1,-1.33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,85,36,159,77,0.53,0.46,173,56,254,99,1,1,3,1,0.33,1,2,0,4,0,1,0
Elizeu Dos Santos,Aleksei Kunchenko,-122,112,81.96721311,112,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Red,FALSE,Welterweight,MALE,3,1,0,0,3.62,0.42,0,0.33,0.33,2,1,9,0,0,0,2,0,0,0,2,Orthodox,172.72,177.8,170,1,0,0,4.18,0.39,0.6,0.45,0.14,7,2,22,0,0,1,2,3,1,0,7,Orthodox,180.34,185.42,170,33,35,0,0,-5,-5,1,-13,0,-3,-1,-7.62,-7.62,-2,-0.56,-0.6,-0.12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayra Bueno Silva,Maryna Moroz,-140,130,71.42857143,130,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,3.25,0.25,0.5,0.33,0.14,2,3,19,0,0,1,2,0,1,0,4,Orthodox,170.18,170.18,125,0,1,0,2.24,0.34,3,0,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,135,28,28,0,0,1,3,-3,18,0,0,0,2.54,2.54,0,1.01,-2.5,0.33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,88,139,146,247,0.6,0.56,92,176,150,298,0,2,0,8,0,0.25,0,0,0,1,0,0
Bruno Silva,David Dvorak,-110,100,90.90909091,100,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,1,0,0,1.54,0.4,0,2.31,0.18,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,135,29,27,1,0,0,0,1,-3,0,0,0,2.54,7.62,2,-1.54,0,-2.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,45,67,97,133,0.46,0.5,60,92,112,161,3,0,11,1,0.27,0,0,0,2,1,0,2
Veronica Macedo,Bea Malecki,-155,145,64.51612903,145,3/14/2020,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,2.72,0.26,4.3,0,0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,135,0,1,0,1.9,0.45,0.8,0.8,1,1,3,9,0,0,0,0,0,1,0,1,Southpaw,162.56,162.56,125,24,28,0,0,0,0,3,-7,0,0,0,12.7,25.4,-4,0.82,3.5,-0.8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,93,130,258,247,0.36,0.52,106,190,271,326,0,0,9,0,0,0,0,0,0,2,0,0
Israel Adesanya,Yoel Romero,-260,240,38.46153846,240,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Middleweight,MALE,5,2,0,0,3.71,0.49,0,1.79,0.31,8,4,40,2,0,1,1,7,0,0,9,Southpaw,182.88,185.42,185,0,7,0,4.46,0.5,0.4,0,0,7,0,21,2,0,1,3,3,0,0,7,Switch,193.04,203.2,185,30,42,-2,-7,1,2,-4,19,0,4,0,-10.16,-17.78,-12,-0.75,-0.4,1.79,0,1,3,0,,,,,,,0,,,,,,6,,,,,,,3,,,,,,,Red,U-DEC,,5,5:00,1500,,,,,,,,,,,,,,,,,,,,,,,,
Weili Zhang,Joanna Jedrzejczyk,-185,170,54.05405405,170,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,TRUE,Women's Strawweight,FEMALE,5,0,1,0,6.18,0.47,0.1,0.3,0.62,8,3,50,9,0,1,7,2,0,0,10,Orthodox,167.64,165.1,115,0,4,0,6.22,0.49,0.9,1.75,0.3,4,0,8,1,0,0,2,1,1,0,4,Switch,162.56,160.02,115,30,32,0,-3,4,6,-3,42,8,1,-1,5.08,5.08,-2,-0.04,-0.8,-1.45,0,1,4,0,,,0,,,,,,,,,,3,,,4,,,,,,,,,,5,Red,S-DEC,,5,5:00,1500,,,,,,,,,,,,,,,,,,,,,,,,
Beneil Dariush,Drakkar Klose,-162,152,61.72839506,152,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,3,0,3.98,0.52,0,1.67,0.3,3,1,18,0,0,1,4,0,0,0,5,Orthodox,175.26,177.8,155,0,3,1,3.95,0.49,0.9,1.77,0.34,5,4,33,0,0,1,4,1,5,0,11,Southpaw,177.8,182.88,155,30,31,0,0,-2,-6,3,-15,0,-1,-5,-2.54,-5.08,-1,0.03,-0.9,-0.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,1:00,360,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,Li Jingliang,157,-167,157,59.88023952,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,3,0,4.9,0.43,0,1.24,0.36,4,3,29,0,0,1,2,6,0,0,9,Orthodox,182.88,180.34,170,1,0,0,3.86,0.46,0.3,2.62,0.46,7,6,52,0,0,1,7,5,1,0,14,Orthodox,190.5,203.2,170,32,31,1,3,-3,-5,3,-23,0,1,-1,-7.62,-22.86,1,1.04,-0.3,-1.38,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Oliveira,Max Griffin,-125,115,80,115,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,1,0,0,4.22,0.49,0.6,1.89,0.54,1,5,22,0,1,0,1,1,0,0,3,Orthodox,180.34,193.04,170,3,0,0,2.9,0.5,0.7,2.86,0.39,3,6,36,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,32,34,2,0,-2,-6,1,-14,0,-3,-3,0,0,-2,1.32,-0.1,-0.97,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Sean O'Malley,Jose Quinonez,-330,300,30.3030303,300,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,3.49,0.47,0.7,2.64,0.45,4,2,18,0,0,0,4,0,1,0,5,Orthodox,172.72,175.26,135,0,2,0,6.75,0.56,1.3,1.31,0.5,2,0,6,0,0,0,2,0,0,0,2,Switch,180.34,182.88,135,25,29,0,-1,2,3,-2,12,0,0,1,-7.62,-7.62,-4,-3.26,-0.6,1.33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:02,122,,,,,,,,,,,,,,,,,,,,,,,,
Mark Madsen,Austin Hubbard,-215,195,46.51162791,195,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,1,0,3.17,0.41,0,1.5,0.6,1,1,6,0,0,0,1,0,0,0,1,Orthodox,177.8,180.34,155,0,1,0,18.33,0.75,0,12.5,0.5,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,182.88,155,35,28,0,0,0,0,-1,5,0,-1,0,5.08,-2.54,7,-15.16,0,-11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Vieira,Saparbeg Safarov,-570,480,17.54385965,480,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,4.29,0.48,0,2.8,0.41,1,2,6,0,0,0,1,0,0,0,1,Orthodox,185.42,198.12,205,0,1,0,1.91,0.46,1.6,4.77,0.42,1,0,2,0,0,0,0,0,1,0,1,Orthodox,182.88,185.42,185,30,33,0,0,0,0,-2,4,0,0,-1,2.54,12.7,-3,2.38,-1.6,-1.97,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,1,2:58,178,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Meerschaert,Deron Winn,125,-135,125,74.07407407,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,1,0,0,6.6,0.47,0,3,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,185,1,0,0,2.73,0.42,1.8,2.56,0.41,2,4,18,0,0,0,0,1,4,0,5,Southpaw,185.42,195.58,185,32,30,0,0,-1,-4,3,-12,0,-1,-4,-17.78,-17.78,2,3.87,-1.8,0.44,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3,2:13,733,,,,,,,,,,,,,,,,,,,,,,,,
Jamall Emmers,Giga Chikadze,-170,160,58.82352941,160,03/07/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,3.33,0.52,0,0.51,0.33,1,0,3,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,145,0,0,0,8.27,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,145,30,31,0,1,1,1,0,3,0,0,0,5.08,0,-1,-4.94,0,0.51,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Danaa Batgerel,Guido Cannetti,-120,110,83.33333333,110,03/07/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,2.8,0.52,0.3,2.8,0.5,1,3,11,0,0,0,2,0,0,0,2,Southpaw,167.64,172.72,135,1,0,0,5.67,0.36,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,30,40,0,0,1,2,-2,8,0,0,0,-2.54,-5.08,-10,-2.87,0.3,2.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:01,181,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Benavidez,Deiveson Figueiredo,-150,130,66.66666667,130,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,TRUE,Flyweight,MALE,5,0,2,0,2.44,0.52,2.4,1.78,0.47,4,1,16,0,0,1,1,3,1,0,6,Orthodox,165.1,172.72,125,0,3,0,3.46,0.33,0.6,1.53,0.31,6,5,65,2,0,1,10,6,3,0,21,Southpaw,162.56,165.1,125,35,32,0,-1,-2,-15,4,-49,-2,-3,-2,2.54,7.62,3,-1.02,1.8,0.25,0,1,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,3,,Red,KO/TKO,Punch,2,1:54,414,0,1,46,25,94,49,0.48,0.51,46,25,94,49,0,1,2,1,0,1,0,1,0,0,0,0
Felicia Spencer,Zarah Fairn,-870,585,11.49425287,585,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE,3,1,0,0,0.51,0.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,145,1,0,0,3.26,0.51,0.8,0.82,0.1,1,1,4,0,0,0,0,0,1,0,1,Orthodox,167.64,172.72,145,29,33,0,0,-1,-1,0,-3,0,0,-1,5.08,10.16,-4,-2.75,-0.8,-0.82,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,3:37,217,0,0,40,13,64,28,0.62,0.46,68,14,98,29,1,0,2,0,0.5,0,0,0,2,0,0,0
Ion Cutelaba,Magomed Ankalaev,185,-225,185,44.44444444,2/29/2020,"Norfolk, Virginia, USA", USA,Blue,FALSE,Light Heavyweight,MALE,3,0,3,0,3.32,0.56,0,0.69,0.33,3,1,10,0,0,0,1,2,0,0,3,Orthodox,190.5,190.5,205,0,1,0,5.27,0.39,0,2.62,0.71,2,3,14,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,26,27,0,2,1,-1,2,-4,0,-1,0,5.08,0,-1,-1.95,0,-1.93,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,0:38,38,0,0,5,8,11,12,0.45,0.66,5,8,11,12,0,0,0,0,0,0,0,0,0,0,0,0
Megan Anderson,Norma Dumont,-245,205,40.81632653,205,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Women's Featherweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,1,0,1.8,0.46,0.6,0.64,0.5,1,2,6,0,0,0,0,1,1,0,2,Orthodox,182.88,182.88,145,30,29,0,-1,-1,-2,2,-6,0,-1,-1,-12.7,-12.7,1,-1.8,-0.6,-0.64,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:31,211,1,0,7,5,14,16,0.5,0.31,32,14,39,25,0,1,1,3,0,0.33,0,0,0,0,1,0
Grant Dawson,Darrick Minner,-475,380,21.05263158,380,2/29/2020,"Norfolk, Virginia, USA", USA,Red,FALSE,Featherweight,MALE,3,0,0,0,6.85,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,0,2,0,3.76,0.46,2.1,5.23,0.45,2,0,5,0,0,0,1,0,1,0,2,Switch,177.8,182.88,145,26,29,0,-2,-2,-2,0,-5,0,0,-1,-7.62,-5.08,-3,3.09,-2.1,-5.23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,1:38,398,0,0,15,4,22,7,0.68,0.57,42,26,52,29,2,1,3,1,0.66,1,2,2,6,0,0,1
